category_name,avg_engagement,avg_views,video_count
Science & Technology,0.05356880058866815,977341.9278881537,1359
Gaming,0.05123827392120077,942441.6707317069,1066
Education,0.05075820895522383,314957.8531343284,1675
Comedy,0.05062729658792664,961385.6713910764,3810
Howto & Style,0.04672059984214678,740271.5801104985,2534
Pets & Animals,0.04657360406091375,663214.7664974623,394
Music,0.038631980264633374,4104628.9457277465,4459
Nonprofits & Activism,0.037826086956521746,780509.7971014492,138
Autos & Vehicles,0.03321525885558582,692680.3188010894,367
Travel & Events,0.03272727272727274,547395.6690909091,275
People & Blogs,0.03051074090311267,659349.21262604,4562
Film & Animation,0.02741670470104973,1544278.443633045,2191
Entertainment,0.02227397110332757,805654.0940236421,18272
News & Politics,0.021000658327847265,325346.96445029584,6076
Sports,0.017363945578231246,983972.7717687074,2940
Movies,0.01,4462115.0,3
Shows,0.009915254237288139,624813.9025423725,236
