video_id,countries,country_count
VY1eFxgRR-k,"['IN', 'CA', 'GB', 'US']",4
dfnCAmr569k,"['IN', 'CA', 'GB', 'US']",4
Jodbdj52Vc0,"['IN', 'CA', 'GB', 'US']",4
UUkn-enk2RU,"['IN', 'CA', 'GB', 'US']",4
_hMQe2U4c6w,"['IN', 'CA', 'GB', 'US']",4
coOKvrsmQiI,"['IN', 'CA', 'GB', 'US']",4
FFsp5b4AUTE,"['IN', 'CA', 'GB', 'US']",4
J-dv_DcDD_A,"['IN', 'CA', 'GB', 'US']",4
OrnpSe4OChM,"['IN', 'CA', 'GB', 'US']",4
TjXQzRWmb_I,"['IN', 'CA', 'GB', 'US']",4
XiHiW4N7-bo,"['IN', 'CA', 'GB', 'US']",4
YBpdL9hSac4,"['IN', 'CA', 'GB', 'US']",4
a7NJ6Gek9v4,"['IN', 'CA', 'GB', 'US']",4
ckS1F3mJzb0,"['IN', 'CA', 'GB', 'US']",4
CzmIrPvIzxk,"['IN', 'CA', 'GB', 'US']",4
DkeiKbqa02g,"['IN', 'CA', 'GB', 'US']",4
GcbsIv3QdFs,"['IN', 'CA', 'GB', 'US']",4
IOuFE-6Awos,"['IN', 'CA', 'GB', 'US']",4
MvIwx0JThsk,"['IN', 'CA', 'GB', 'US']",4
OZqsFkJpvj0,"['IN', 'CA', 'GB', 'US']",4
PzcaR1N0pTI,"['IN', 'CA', 'GB', 'US']",4
SbrOMrjhyvI,"['IN', 'CA', 'GB', 'US']",4
WS7f5xpGYn8,"['IN', 'CA', 'GB', 'US']",4
WeyLEe1T0yo,"['IN', 'CA', 'GB', 'US']",4
8_rTIAOohas,"['IN', 'CA', 'GB', 'US']",4
8V08Gu1DOgE,"['IN', 'CA', 'GB', 'US']",4
8hKbIhrb1WU,"['IN', 'CA', 'GB', 'US']",4
Am6NHDbj6XA,"['IN', 'CA', 'GB', 'US']",4
aj8mN_7Apcw,"['IN', 'CA', 'GB', 'US']",4
cSp1dM2Vj48,"['IN', 'CA', 'GB', 'US']",4
2Vv-BfVoq4g,"['IN', 'CA', 'GB', 'US']",4
CZkUNPBlJIQ,"['IN', 'CA', 'GB', 'US']",4
0XuOkYlUWIs,"['IN', 'CA', 'GB', 'US']",4
DKPCBAlDw2A,"['IN', 'CA', 'GB', 'US']",4
FlsCjmMhFmw,"['IN', 'CA', 'GB', 'US']",4
GBTV5ekQwWw,"['IN', 'CA', 'GB', 'US']",4
GpxCT36DxKg,"['IN', 'CA', 'GB', 'US']",4
425M4M3Opkk,"['IN', 'CA', 'GB', 'US']",4
M4ZoCHID9GI,"['IN', 'CA', 'GB', 'US']",4
MFWF9dU5Zc0,"['IN', 'CA', 'GB', 'US']",4
NaY91YjVbEM,"['IN', 'CA', 'GB', 'US']",4
NooW_RbfdWI,"['IN', 'CA', 'GB', 'US']",4
5sEaYB4rLFQ,"['IN', 'CA', 'GB', 'US']",4
PJBmeqpw3DY,"['IN', 'CA', 'GB', 'US']",4
QwievZ1Tx-8,"['IN', 'CA', 'GB', 'US']",4
6ZfuNTqbHE8,"['IN', 'CA', 'GB', 'US']",4
8LPVjHxXvJM,"['IN', 'CA', 'GB', 'US']",4
20bpjtCbCz0,"['IN', 'CA', 'GB', 'US']",4
23ILq4uxd-w,"['IN', 'CA', 'GB', 'US']",4
dzxFdtWmjto,"['IN', 'CA', 'GB', 'US']",4
