category,country,video_count
Entertainment,CA,8245
Entertainment,IN,7548
News & Politics,CA,2940
People & Blogs,CA,2553
News & Politics,IN,2505
Comedy,CA,1947
Sports,CA,1932
Entertainment,US,1621
Music,CA,1568
Howto & Style,CA,1272
People & Blogs,IN,1232
Music,IN,1213
Film & Animation,CA,1151
Comedy,IN,1114
Music,GB,877
Entertainment,GB,858
Music,US,801
Education,IN,797
Gaming,CA,771
Science & Technology,CA,636
Howto & Style,US,594
Education,CA,590
Comedy,US,544
Film & Animation,IN,522
News & Politics,US,504
People & Blogs,US,495
Howto & Style,IN,478
Sports,US,449
Science & Technology,US,381
Sports,IN,347
Film & Animation,US,320
Science & Technology,IN,300
People & Blogs,GB,282
Education,US,251
Autos & Vehicles,CA,248
Pets & Animals,CA,212
Sports,GB,212
Comedy,GB,205
Travel & Events,CA,202
Film & Animation,GB,198
Howto & Style,GB,190
Gaming,GB,172
Pets & Animals,US,140
News & Politics,GB,127
Shows,IN,121
Shows,CA,110
Gaming,US,103
Autos & Vehicles,US,71
Nonprofits & Activism,IN,69
Travel & Events,US,59
Nonprofits & Activism,CA,49
Science & Technology,GB,42
Pets & Animals,GB,41
Education,GB,37
Autos & Vehicles,IN,34
Gaming,IN,20
Autos & Vehicles,GB,14
Nonprofits & Activism,US,14
Travel & Events,GB,10
Nonprofits & Activism,GB,6
Travel & Events,IN,4
Shows,US,4
Movies,IN,2
Pets & Animals,IN,1
Movies,CA,1
Shows,GB,1
